"party_code","straight_average","electoral_votes","cummulative_ev","date"
"Democrat",0.99,108,108,2016-11-02
"Democrat",0.988,27,135,2016-11-02
"Democrat",0.987,26,161,2016-11-02
"Democrat",0.985,7,168,2016-11-02
"Democrat",0.98,4,172,2016-11-02
"Democrat",0.977,7,179,2016-11-02
"Democrat",0.975,3,182,2016-11-02
"Democrat",0.972,1,183,2016-11-02
"Democrat",0.968,13,196,2016-11-02
"Democrat",0.96,5,201,2016-11-02
"Democrat",0.952,10,211,2016-11-02
"Democrat",0.947,2,213,2016-11-02
"Democrat",0.937,20,233,2016-11-02
"Democrat",0.928,16,249,2016-11-02
"Democrat",0.915,10,259,2016-11-02
"Democrat",0.912,4,263,2016-11-02
"Democrat",0.883,9,272,2016-11-02
"Democrat",0.732,15,287,2016-11-02
"Democrat",0.693,29,316,2016-11-02
"Democrat",0.68,6,322,2016-11-02
"Democrat",0.554,1,323,2016-11-02
"Democrat",0.392,18,341,2016-11-02
"Democrat",0.375,6,347,2016-11-02
"Democrat",0.335,11,358,2016-11-02
"Democrat",0.324,1,359,2016-11-02
"Democrat",0.168,16,375,2016-11-02
"Democrat",0.153,6,381,2016-11-02
"Democrat",0.093,3,384,2016-11-02
"Democrat",0.068,9,393,2016-11-02
"Democrat",0.042,38,431,2016-11-02
"Democrat",0.038,10,441,2016-11-02
"Democrat",0.032,6,447,2016-11-02
"Democrat",0.028,3,450,2016-11-02
"Democrat",0.026,1,451,2016-11-02
"Democrat",0.02,11,462,2016-11-02
"Democrat",0.018,9,471,2016-11-02
"Democrat",0.015,3,474,2016-11-02
"Democrat",0.013,11,485,2016-11-02
"Democrat",0.012,10,495,2016-11-02
"Democrat",0.01,43,538,2016-11-02
"Republican",0.99,43,43,2016-11-02
"Republican",0.988,10,53,2016-11-02
"Republican",0.987,11,64,2016-11-02
"Republican",0.985,3,67,2016-11-02
"Republican",0.982,9,76,2016-11-02
"Republican",0.98,11,87,2016-11-02
"Republican",0.974,1,88,2016-11-02
"Republican",0.972,3,91,2016-11-02
"Republican",0.968,6,97,2016-11-02
"Republican",0.962,10,107,2016-11-02
"Republican",0.958,38,145,2016-11-02
"Republican",0.932,9,154,2016-11-02
"Republican",0.907,3,157,2016-11-02
"Republican",0.847,6,163,2016-11-02
"Republican",0.832,16,179,2016-11-02
"Republican",0.676,1,180,2016-11-02
"Republican",0.665,11,191,2016-11-02
"Republican",0.625,6,197,2016-11-02
"Republican",0.608,18,215,2016-11-02
"Republican",0.446,1,216,2016-11-02
"Republican",0.32,6,222,2016-11-02
"Republican",0.307,29,251,2016-11-02
"Republican",0.268,15,266,2016-11-02
"Republican",0.117,9,275,2016-11-02
"Republican",0.088,4,279,2016-11-02
"Republican",0.085,10,289,2016-11-02
"Republican",0.072,16,305,2016-11-02
"Republican",0.063,20,325,2016-11-02
"Republican",0.053,2,327,2016-11-02
"Republican",0.048,10,337,2016-11-02
"Republican",0.04,5,342,2016-11-02
"Republican",0.032,13,355,2016-11-02
"Republican",0.028,1,356,2016-11-02
"Republican",0.025,3,359,2016-11-02
"Republican",0.023,7,366,2016-11-02
"Republican",0.02,4,370,2016-11-02
"Republican",0.015,7,377,2016-11-02
"Republican",0.013,26,403,2016-11-02
"Republican",0.012,27,430,2016-11-02
"Republican",0.01,108,538,2016-11-02
